steamid,avatarhash,personaname,profileurl,timecreated,lastlogoff,loccountrycode,steam_game_id,name,last_played_timestamp,playtime_forever,img_icon_url,playtime_2weeks,total_game_acheivements,total_game_acheivements_unlocked
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,357190,Ultimate Marvel vs. Capcom 3,2023-11-04 22:22:57,53,d7a0929698ca92db48dd0d4f47794b1e32bbc9e4,,47,1
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,1091500,Cyberpunk 2077,2025-02-15 16:32:20,3715,42b9b33fa0f0d997beb299c6157592a8fe7d8f68,,57,14
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,1085660,Destiny 2,2025-06-14 00:18:15,37793,fce050d63f0a2f8eb51b603c7f30bfca2a301549,,23,21
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,1145360,Hades,2025-04-08 23:59:52,1111,8a3fca36a00883e8066263ad35dd15d77a1f9abc,,49,9
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,1222700,A Way Out,2025-02-15 00:40:35,336,ac36b7d06c117d34c204166c3120e15910ef2b8b,,14,5
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,570940,DARK SOULS™: REMASTERED,2025-02-16 23:34:05,261,d74cfa4f3a2070f45ad8ce44e5f61a6507ee00b6,,41,5
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,1426210,It Takes Two,2024-10-20 14:58:32,262,6b15f6d81c4fc52056f4928b363b7fac591a945b,,20,0
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,1151640,Horizon Zero Dawn™ Complete Edition,2025-02-22 19:14:36,218,08a1b6df68bdc8c28c974b79325ed8c89417af48,,79,4
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,704270,Generation Zero®,2024-09-29 23:20:14,1187,8e55fc5328374be6e476a6f97ee4e4209de272cf,,72,23
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,239140,Dying Light,2025-06-01 14:45:34,328,d575b4ba3480fe20aaeda8e8f498c3e47033069d,,78,7
